(3299509.4150272827,2.5721790204489067E7)
(3300686.212480631,2.572340291784433E7)
(3301469.785145442,2.572318491575099E7)
(3302485.7561863475,2.5722555270583306E7)
(3303341.813006504,2.572374725316764E7)
(3303515.6907770247,2.572403310798567E7)
(3303555.68687436,2.5724106177853554E7)
(3303789.6991280667,2.5724461223844044E7)
(3304281.3002823303,2.5725746260489218E7)
(3304501.6296606334,2.5726303404498074E7)
(3304614.180081906,2.5726232339215674E7)
(3304586.6739939144,2.572617211447168E7)
(3304353.8546062685,2.572533365902408E7)
(3304353.8546062685,2.572533365902408E7)
