(3305021.0175772565,2.570555836644156E7)
(3304511.5936006713,2.570461146023791E7)
(3304168.890198241,2.57049378855219E7)
(3302887.8222174537,2.570620253414952E7)
(3303304.342978474,2.570690062510295E7)
(3304207.132080781,2.5708315296416953E7)
(3304221.306136328,2.5708335364835046E7)
(3304702.8030133694,2.5709013414073147E7)
(3304829.9485017406,2.5709195102713943E7)
(3305036.314330272,2.5709127404225644E7)
(3305461.325490902,2.5709474326407153E7)
(3305873.2151248627,2.5709820715595327E7)
(3306941.3915980794,2.5710719143408887E7)
(3308129.5563633023,2.5711699469923384E7)
(3309010.2423591865,2.571243576317323E7)
(3308929.478310006,2.571300106857659E7)
(3308380.5494162287,2.5715827682383932E7)
(3308068.158845463,2.571739419049653E7)
(3307984.0267038755,2.5717805260717306E7)
(3307934.9788581966,2.57179504473825E7)
(3308101.3485893924,2.571794282005511E7)
(3308405.950446466,2.571807676678234E7)
(3308984.981666133,2.5718336900015783E7)
(3309706.2446214105,2.5718658455289274E7)
(3309855.633553387,2.571872509494345E7)
(3309410.3436697223,2.5720282317946605E7)
(3310573.1775732986,2.5721231633977983E7)
(3310529.3923720056,2.572145805910087E7)
(3308443.5608116793,2.572712541296031E7)
